year_month,state,total_enrolment,age_0_5,age_5_17,age_18_greater,total_updates,demo_age_5_17,demo_age_17_
2025-05,Jammu & Kashmir,4,3,1,0,10,2,8
2025-05,Jammu and Kashmir,1053,793,201,59,4069,645,3424
2025-05,Jharkhand,4008,2670,1333,5,14013,1381,12632
2025-05,Karnataka,3265,2712,447,106,19706,2573,17133
2025-05,Kerala,1768,1326,393,49,13747,1028,12719
2025-05,Ladakh,18,13,3,2,81,16,65
2025-05,Lakshadweep,5,4,1,0,14,5,9
2025-05,Madhya Pradesh,7919,6614,1284,21,21213,2936,18277
2025-05,Maharashtra,4743,3774,939,30,51317,3528,47789
2025-05,Manipur,363,155,206,2,6911,908,6003
2025-05,Meghalaya,1064,211,476,377,1657,185,1472
2025-05,Mizoram,87,65,20,2,275,36,239
2025-05,Nagaland,206,57,146,3,634,67,567
2025-05,Odisha,2631,2117,512,2,14679,1989,12690
2025-05,Orissa,80,69,11,0,585,37,548
2025-05,Pondicherry,27,26,1,0,157,10,147
2025-05,Puducherry,44,44,0,0,479,94,385
2025-05,Punjab,1829,1580,227,22,12390,856,11534
2025-05,Rajasthan,8032,6055,1954,23,28716,3305,25411
2025-05,Sikkim,66,33,30,3,715,45,670
2025-05,Tamil Nadu,4105,3236,865,4,36514,6676,29838
2025-05,Telangana,1779,1360,407,12,26211,4277,21934
2025-05,Tripura,301,202,99,0,2328,230,2098
2025-05,Uttar Pradesh,17694,10121,7428,145,124823,13530,111293
2025-05,Uttarakhand,726,623,103,0,5602,645,4957
2025-05,West  Bengal,1,0,1,0,2,0,2
2025-05,West Bengal,10787,8556,2181,50,66023,4332,61691
2025-06,Andaman and Nicobar Islands,3,3,0,0,95,10,85
2025-06,Andhra Pradesh,3318,2881,392,45,35435,5346,30089
2025-06,Arunachal Pradesh,113,51,60,2,654,125,529
2025-06,Assam,4249,2830,1084,335,20398,2042,18356
2025-06,Bihar,12258,4730,7384,144,107364,7809,99555
2025-06,Chandigarh,57,48,9,0,770,91,679
2025-06,Chhattisgarh,1998,1641,327,30,24007,2417,21590
2025-06,Dadra & Nagar Haveli,1,0,1,0,2,0,2
2025-06,Dadra and Nagar Haveli,8,7,1,0,187,71,116
2025-06,Dadra and Nagar Haveli and Daman and Diu,4,1,3,0,112,11,101
2025-06,Delhi,1627,1169,407,51,13042,1505,11537
2025-06,Goa,45,38,7,0,859,62,797
2025-06,Gujarat,2749,1972,572,205,29719,3677,26042
2025-06,Haryana,1824,1659,153,12,12744,1549,11195
2025-06,Himachal Pradesh,405,388,15,2,3008,458,2550
2025-06,Jammu & Kashmir,5,4,1,0,14,1,13
2025-06,Jammu and Kashmir,912,685,150,77,5961,851,5110
2025-06,Jharkhand,4020,2560,1440,20,21428,2142,19286
2025-06,Karnataka,4802,3912,735,155,28673,4258,24415
2025-06,Kerala,1005,674,266,65,17187,1521,15666
2025-06,Ladakh,10,7,2,1,128,17,111
2025-06,Lakshadweep,7,6,1,0,55,4,51
2025-06,Madhya Pradesh,7774,6105,1501,168,39436,6002,33434
2025-06,Maharashtra,4013,3017,905,91,127884,5838,122046
2025-06,Manipur,282,111,168,3,9044,1157,7887
2025-06,Meghalaya,286,71,158,57,830,130,700
2025-06,Mizoram,66,45,17,4,453,70,383
2025-06,Nagaland,112,32,79,1,747,97,650
2025-06,Odisha,3476,2777,677,22,23506,3319,20187
2025-06,Orissa,111,92,19,0,950,69,881
2025-06,Pondicherry,22,20,2,0,201,16,185
2025-06,Puducherry,27,24,3,0,626,136,490
2025-06,Punjab,1236,1026,178,32,11857,770,11087
2025-06,Rajasthan,7407,5577,1761,69,28016,3428,24588
2025-06,Sikkim,30,15,15,0,309,13,296
2025-06,Tamil Nadu,5150,4030,1110,10,35063,7466,27597
2025-06,Telangana,2790,2244,506,40,27175,4208,22967
2025-06,Tripura,231,150,78,3,2483,256,2227
2025-06,Uttar Pradesh,19078,10354,8420,304,163125,20023,143102
2025-06,Uttarakhand,824,696,124,4,6621,841,5780
2025-06,West Bengal,9922,7837,2002,83,103985,6375,97610
2025-07,Andaman and Nicobar Islands,4,4,0,0,95,16,79
2025-07,Andhra Pradesh,1623,1405,165,53,29925,6080,23845
2025-07,Arunachal Pradesh,105,42,62,1,504,84,420
2025-07,Assam,1793,1081,443,269,12091,993,11098
2025-07,Bihar,5272,2174,3027,71,67462,5667,61795
2025-07,Chandigarh,38,37,0,1,569,51,518
2025-07,Chhattisgarh,1188,957,228,3,12847,1750,11097
2025-07,Dadra and Nagar Haveli,6,5,1,0,111,43,68
2025-07,Daman and Diu,1,1,0,0,27,3,24
2025-07,Delhi,784,590,168,26,8867,916,7951
2025-07,Goa,27,24,3,0,553,55,498
2025-07,Gujarat,1541,1035,246,260,19477,2474,17003
2025-07,Haryana,1004,912,90,2,9683,1117,8566
2025-07,Himachal Pradesh,243,231,10,2,1616,291,1325
2025-07,Jammu & Kashmir,2,2,0,0,6,0,6
2025-07,Jammu and Kashmir,571,438,82,51,3232,482,2750
2025-07,Jharkhand,2407,1542,847,18,14823,1423,13400
2025-07,Karnataka,1878,1461,292,125,22266,3404,18862
2025-07,Kerala,647,452,150,45,12971,950,12021
2025-07,Ladakh,7,6,1,0,72,20,52
2025-07,Lakshadweep,1,1,0,0,22,3,19
2025-07,Madhya Pradesh,4702,3877,729,96,26038,3835,22203
2025-07,Maharashtra,3706,2898,689,119,108482,3831,104651
2025-07,Manipur,136,61,64,11,6615,753,5862
2025-07,Meghalaya,108,24,63,21,309,41,268
2025-07,Mizoram,31,16,11,4,276,28,248
2025-07,Nagaland,120,12,54,54,391,39,352
2025-07,Odisha,878,694,182,2,10353,1705,8648
2025-07,Orissa,36,29,7,0,407,41,366
2025-07,Pondicherry,17,15,2,0,118,12,106
2025-07,Puducherry,30,25,1,4,468,72,396
2025-07,Punjab,435,341,62,32,7583,534,7049
2025-07,Rajasthan,4103,3002,1057,44,22172,2718,19454
2025-07,Sikkim,20,12,8,0,212,21,191
2025-07,Tamil Nadu,3571,2727,832,12,32541,6535,26006
2025-07,Telangana,1649,1339,287,23,22980,3734,19246
2025-07,Tripura,129,84,42,3,1155,127,1028
2025-07,Uttar Pradesh,10981,6095,4719,167,101500,11040,90460
2025-07,Uttarakhand,423,368,54,1,4578,549,4029
2025-07,West  Bengal,1,1,0,0,1,0,1
2025-07,West Bengal,5976,4724,1211,41,52289,3193,49096
2025-08,Andaman & Nicobar Islands,1,1,0,0,23,0,23
2025-08,Andaman and Nicobar Islands,19,19,0,0,93,9,84
2025-08,Andhra Pradesh,3830,3360,454,16,32283,4803,27480
2025-08,Arunachal Pradesh,171,81,90,0,1146,204,942
2025-08,Assam,4863,3361,1393,109,29761,2657,27104
2025-08,Bihar,13508,6097,7297,114,163158,11197,151961
2025-08,Chandigarh,73,68,5,0,910,98,812
2025-08,Chhattisgarh,3032,2451,557,24,44132,3863,40269
2025-08,Dadra & Nagar Haveli,1,1,0,0,9,2,7
2025-08,Dadra and Nagar Haveli,22,19,2,1,186,32,154
2025-08,Dadra and Nagar Haveli and Daman and Diu,3,3,0,0,89,3,86
2025-08,Daman & Diu,1,1,0,0,29,3,26
2025-08,Daman and Diu,6,4,2,0,39,3,36
2025-08,Delhi,1719,1305,370,44,14553,1565,12988
2025-08,Goa,101,86,11,4,1121,85,1036
2025-08,Gujarat,5019,3657,1065,297,37372,3698,33674
2025-08,Haryana,2606,2426,166,14,16643,1877,14766
2025-08,Himachal Pradesh,584,559,21,4,4053,417,3636
2025-08,Jammu & Kashmir,2,1,1,0,16,0,16
2025-08,Jammu and Kashmir,1323,1048,253,22,7806,1131,6675
2025-08,Jharkhand,5268,3233,1989,46,34459,3094,31365
2025-08,Karnataka,5254,4399,790,65,38247,4917,33330
2025-08,Kerala,2101,1524,563,14,26364,2266,24098
2025-08,Ladakh,15,12,3,0,118,23,95
2025-08,Lakshadweep,4,4,0,0,53,11,42
2025-08,Madhya Pradesh,13404,10334,2981,89,50107,6858,43249
2025-08,Maharashtra,8605,6642,1852,111,129910,6439,123471
2025-08,Manipur,280,111,150,19,12844,1923,10921
2025-08,Meghalaya,726,173,299,254,1808,184,1624
2025-08,Mizoram,100,67,29,4,754,91,663
2025-08,Nagaland,356,100,137,119,974,107,867
2025-08,Odisha,4287,3458,822,7,25997,3490,22507
2025-08,Orissa,135,114,21,0,1123,66,1057
2025-08,Pondicherry,60,56,4,0,307,22,285
2025-08,Puducherry,70,66,3,1,644,112,532
2025-08,Punjab,1865,1560,277,28,16234,907,15327
2025-08,Rajasthan,9606,6846,2714,46,41681,4889,36792
2025-08,Sikkim,66,33,32,1,590,41,549
2025-08,Tamil Nadu,6373,5289,1076,8,55101,8921,46180
2025-08,Telangana,4014,3316,693,5,42671,5957,36714
2025-08,Tripura,302,195,106,1,4324,402,3922
2025-08,Uttar Pradesh,22684,11561,10910,213,245687,26708,218979
2025-08,Uttarakhand,1134,986,145,3,9352,987,8365
2025-08,West  Bengal,2,1,1,0,1,0,1
2025-08,West Bengal,10209,7692,2441,76,115993,6483,109510
2025-08,West bengal,2,1,1,0,1,0,1
2025-09,Andaman & Nicobar Islands,4,3,1,0,22,1,21
2025-09,Andaman and Nicobar Islands,13,10,3,0,150,16,134
2025-09,Andhra Pradesh,3375,2994,359,22,33485,4734,28751
2025-09,Arunachal Pradesh,143,76,67,0,1031,191,840
2025-09,Assam,3959,2826,1081,52,17433,1640,15793
2025-09,Bihar,13340,5951,7161,228,116634,8101,108533
2025-09,Chandigarh,79,73,6,0,678,93,585
2025-09,Chhattisgarh,2992,2520,456,16,27930,2516,25414
2025-09,Dadra & Nagar Haveli,1,1,0,0,10,1,9
2025-09,Dadra and Nagar Haveli,32,29,3,0,156,39,117
2025-09,Dadra and Nagar Haveli and Daman and Diu,7,4,3,0,77,2,75
2025-09,Daman and Diu,8,7,1,0,52,7,45
2025-09,Delhi,1845,1394,373,78,11180,1306,9874
2025-09,Goa,64,51,9,4,837,58,779
2025-09,Gujarat,5791,4570,1156,65,28298,3055,25243
2025-09,Haryana,2578,2280,265,33,11767,1477,10290
2025-09,Himachal Pradesh,553,534,15,4,3875,427,3448
2025-09,Jammu & Kashmir,4,4,0,0,9,2,7
2025-09,Jammu and Kashmir,1375,1132,242,1,6102,802,5300
2025-09,Jharkhand,5107,3235,1857,15,27784,2525,25259
2025-09,Karnataka,4924,4078,668,178,28248,3352,24896
2025-09,Kerala,2357,1721,624,12,16451,1341,15110
2025-09,Ladakh,18,14,4,0,89,19,70
2025-09,Lakshadweep,5,5,0,0,19,6,13
2025-09,Madhya Pradesh,13940,10909,2940,91,36669,5160,31509
2025-09,Maharashtra,9927,7691,2163,73,56596,4400,52196
2025-09,Manipur,245,112,126,7,5425,818,4607
2025-09,Meghalaya,615,145,292,178,1586,150,1436
2025-09,Mizoram,145,108,35,2,480,53,427
2025-09,Nagaland,194,59,105,30,686,66,620
2025-09,Odisha,4290,3500,786,4,16171,2078,14093
2025-09,Orissa,138,113,25,0,606,27,579
2025-09,Pondicherry,58,57,1,0,189,18,171
2025-09,Puducherry,59,55,4,0,422,84,338
2025-09,Punjab,2023,1739,254,30,10512,621,9891
2025-09,Rajasthan,10838,7705,3075,58,27019,3281,23738
2025-09,Sikkim,51,24,26,1,399,38,361
2025-09,Tamil Nadu,6073,5169,899,5,29025,4861,24164
2025-09,Telangana,4381,3664,705,12,28576,3648,24928
2025-09,Tripura,306,209,94,3,2432,231,2201
2025-09,Uttar Pradesh,25152,12645,12213,294,130058,17676,112382
2025-09,Uttarakhand,1122,965,153,4,6202,753,5449
2025-09,West  Bengal,1,1,0,0,1,0,1
2025-09,West Bengal,11073,8636,2315,122,65802,3749,62053
2025-09,andhra pradesh,1,1,0,0,1,0,1
2025-10,Andaman and Nicobar Islands,18,16,2,0,109,7,102
2025-10,Andhra Pradesh,3725,3264,386,75,31889,3604,28285
2025-10,Arunachal Pradesh,95,41,52,2,857,164,693
2025-10,Assam,4327,2946,1171,210,21969,1889,20080
2025-10,Bihar,13816,6569,7134,113,126935,8111,118824
2025-10,Chandigarh,104,90,9,5,670,60,610
2025-10,Chhattisgarh,2796,2273,482,41,33973,2999,30974
2025-10,Dadra & Nagar Haveli,2,2,0,0,6,2,4
2025-10,Dadra and Nagar Haveli,24,17,7,0,106,18,88
2025-10,Dadra and Nagar Haveli and Daman and Diu,8,8,0,0,79,5,74
2025-10,Daman and Diu,1,1,0,0,35,7,28
2025-10,Delhi,1833,1418,391,24,10300,1157,9143
2025-10,Goa,70,60,8,2,891,30,861
2025-10,Gujarat,5689,4252,1229,208,30116,2772,27344
2025-10,Haryana,2634,2420,204,10,14252,1676,12576
2025-10,Himachal Pradesh,613,592,18,3,4008,393,3615
2025-10,Jammu & Kashmir,6,4,2,0,13,0,13
2025-10,Jammu and Kashmir,1491,1258,228,5,5709,733,4976
2025-10,Jharkhand,5551,3478,2053,20,28567,2494,26073
2025-10,Karnataka,6343,5338,889,116,29285,3451,25834
2025-10,Kerala,2293,1672,567,54,19517,1528,17989
2025-10,Ladakh,35,30,5,0,82,16,66
2025-10,Lakshadweep,10,10,0,0,49,6,43
2025-10,Madhya Pradesh,14344,11213,3000,131,45872,6010,39862
2025-10,Maharashtra,10209,7835,2238,136,157775,6154,151621
2025-10,Manipur,379,165,211,3,12097,1553,10544
2025-10,Meghalaya,853,156,286,411,2324,231,2093
2025-10,Mizoram,110,81,27,2,776,94,682
2025-10,Nagaland,162,58,95,9,890,58,832
2025-10,Odisha,4076,3300,772,4,25237,3538,21699
2025-10,Orissa,121,104,17,0,977,50,927
2025-10,Pondicherry,56,53,3,0,282,11,271
2025-10,Puducherry,66,62,2,2,576,104,472
2025-10,Punjab,1973,1652,255,66,13742,700,13042
2025-10,Rajasthan,12142,8303,3772,67,39506,4562,34944
2025-10,Sikkim,38,21,16,1,576,49,527
2025-10,Tamil Nadu,6959,5812,1143,4,48442,8017,40425
2025-10,Telangana,4487,3687,784,16,24627,3103,21524
2025-10,Tripura,306,219,80,7,3069,294,2775
2025-10,Uttar Pradesh,26490,13301,12918,271,167093,18867,148226
2025-10,Uttarakhand,1254,1068,183,3,7900,828,7072
2025-10,WEST BENGAL,1,1,0,0,5,0,5
2025-10,West  Bengal,1,0,1,0,1,0,1
2025-10,West Bengal,12735,10011,2672,52,96702,5207,91495
2025-11,Andaman & Nicobar Islands,5,5,0,0,45,0,45
2025-11,Andaman and Nicobar Islands,10,10,0,0,151,15,136
2025-11,Andhra Pradesh,3047,2628,373,46,38565,4840,33725
2025-11,Arunachal Pradesh,110,54,55,1,1040,153,887
2025-11,Assam,3776,2467,1103,206,20462,1724,18738
2025-11,Bihar,10670,4576,5989,105,115243,8358,106885
2025-11,Chandigarh,70,62,8,0,928,92,836
2025-11,Chhattisgarh,2245,1776,448,21,32641,3114,29527
2025-11,Dadra & Nagar Haveli,1,1,0,0,4,0,4
2025-11,Dadra and Nagar Haveli,38,36,2,0,178,47,131
2025-11,Dadra and Nagar Haveli and Daman and Diu,8,3,3,2,79,4,75
2025-11,Daman and Diu,3,3,0,0,58,8,50
2025-11,Delhi,1445,1093,329,23,13897,1542,12355
2025-11,Goa,68,58,7,3,1017,62,955
2025-11,Gujarat,5558,4112,1224,222,36161,3496,32665
2025-11,Haryana,1935,1774,135,26,15726,1894,13832
2025-11,Himachal Pradesh,480,459,18,3,3951,478,3473
2025-11,Jammu & Kashmir,4,2,2,0,21,3,18
2025-11,Jammu and Kashmir,1000,828,167,5,5835,728,5107
2025-11,Jharkhand,4012,2430,1553,29,29101,2750,26351
2025-11,Karnataka,5333,4470,739,124,31754,3895,27859
2025-11,Kerala,2004,1514,437,53,18388,1554,16834
2025-11,Ladakh,7,6,1,0,118,21,97
2025-11,Lakshadweep,8,7,1,0,36,3,33
2025-11,Madhya Pradesh,11032,8342,2539,151,47578,6173,41405
2025-11,Maharashtra,8118,5880,2094,144,127047,6278,120769
2025-11,Manipur,265,119,144,2,9652,1118,8534
2025-11,Meghalaya,764,158,277,329,1862,193,1669
2025-11,Mizoram,85,57,14,14,705,67,638
